,rodal_0,rodal_1,rodal_2,rodal_3,rodal_4,rodal_5,rodal_6,rodal_7,rodal_8,rodal_9,rodal_10,rodal_11,rodal_12,rodal_13,rodal_14,rodal_15,rodal_16,rodal_17,rodal_18,rodal_19
0,757.8080036186934,78.35247109595144,371.43607021298345,495.41027899662475,0.0,176.7472218036196,0.0,1281.2503135485965,109.12270294500172,0.0,0.0,275.3369451905077,218.66615253172284,587.0560178143675,21.856,139.38983057970796,370.6351275864043,0.0,1360.4233728861368,284.7659463764171
1,856.7557413674353,125.9509980628383,416.0935759382907,694.5232246199199,4.758,327.2165177723751,0.0,1453.2808134472396,156.36935918860524,7.709,0.0,457.7056893261921,297.8888300092822,796.6590719080821,65.84296887749721,186.60405798904503,523.4393500957941,0.0,1552.0240680192048,323.4406225117492
2,960.4530087249693,182.0133046202214,462.48182377900537,915.3078340935523,16.272401449640025,506.5439813091502,0.0,1633.0829008351047,201.92025181619135,22.09340272545245,0.0,670.9211632164199,392.66235562877137,1026.6627291843004,125.50776568923445,238.80089344220232,694.0004558277128,0.0,1754.5795488117478,363.91536748241157
3,1068.7882918619785,245.89641141119318,510.54575970796503,1155.911591835963,33.40700511514695,710.9244804115142,0.0,1820.414747545425,245.96020711630774,40.902064721546886,0.0,910.4675107520937,503.5222847656312,1275.1450589522706,198.3572726300817,295.68075772240206,880.8996537146431,0.0,1967.9231448847122,406.1363709414948
4,1181.6596613914535,317.1132536600054,560.235477705624,1414.8956999681363,55.65175471589887,937.7774426728826,0.0,2015.0580232961104,288.64228352259295,63.31799766364377,0.0,1173.328833353486,630.9560516390873,1540.6266418837704,282.8993560534304,356.9990812131358,1083.0287393033507,0.0,2191.901261337919,450.05499182426513
5,1298.9734209500816,395.2766007773095,611.5054583492131,1691.100218691138,82.67938269071169,1185.2008531932788,0.0,2216.8142559251837,330.09496845598494,88.86556005143927,0.0,1457.308638802595,775.4120241316147,1821.923820478502,378.10230189240826,422.5509508254821,1299.4899750207612,0.0,2426.371624573693,495.62696281410126
6,1420.6430123828836,480.0680111699958,664.3139568013974,1983.5638574818988,114.25224852119567,1451.7161988866408,0.0,2425.501940605789,370.4273996608582,117.22218033411032,0.0,1760.7161621528803,937.3061337683207,2118.062115050639,483.19414554308725,492.16120776501185,1529.5362399341236,62.84735039907093,2671.201850180101,542.8117577835899
7,1546.5881176003145,571.2189776426516,718.6225044321371,2291.4728276801757,150.18562308973523,1736.1306509125545,12.867392914352365,2640.9542100841954,409.7332370625951,148.15010664915985,0.0,2082.198651975431,1117.0268896605792,2428.221389502024,597.5673375003522,565.6777241441251,1772.532697672632,137.33577961359674,2926.268259521032,591.5720814489724
8,1676.7339135271227,668.4986862469801,774.3954982588176,2614.1264594450186,190.3294859424136,2037.4550334822438,89.93027138593885,2863.0169327399262,448.09358915421546,181.4645248608301,0.0,2420.6424172007305,1314.9392708127496,2751.6992118174753,720.7265395453777,642.9666498094167,2027.930929390433,210.30711769326717,3191.4548912986074,641.8734523193269
9,1811.0104478716971,771.7056564923971,831.5998592229614,2950.913109796283,234.55821579727916,2354.85147974876,163.68405441750258,3091.5471420842227,485.57926214992096,217.01633136406932,31.423675199535467,2775.110159430885,1531.38781376209,3087.885318975345,852.2572060802532,723.9089405756606,2295.250746856665,281.91528006297835,3466.6526680212537,693.6838579935903
10,1949.3521114297819,880.6618006400798,890.2047451134052,3301.292706611705,282.7642090692895,2687.5982238703978,234.55403878290787,3326.411726656669,522.2525144879133,254.68187918528048,68.66788980679837,3144.7990992199716,1766.6991068595185,3436.2432051460364,991.8053441854362,808.3977531683154,2574.0669742452233,352.28797419043644,3751.758687026805,746.9734673514948
11,2091.697188378852,995.2080642157553,950.1813073692134,3664.783746221741,334.8536684588949,3035.0649182742563,302.88037772428703,3567.4863270927126,558.1684437253233,294.356434968595,105.15355884663359,3529.01179311468,1481.7095986434329,3796.296468105124,1139.0637855056684,896.3364457563843,2863.9995745460633,421.5327118138721,4046.6756127420686,801.7143880488941
12,2237.9874702176985,1115.2011408613155,1011.5024834829908,4040.9533807875664,390.7436852587088,3396.6947412308937,368.9403106744616,3814.6543998895195,593.376095971512,335.9497779837997,140.95764003148918,3927.1350915954704,1638.9329482503804,4167.618442591762,1293.7624900469968,987.6370133981386,3164.706102725141,489.7411332568113,4351.31115203277,857.880460497505
13,2388.167922121138,1240.5109409622378,1074.142818560229,4429.409710153854,450.3601391984623,3771.99106368191,432.9634252838894,4067.806416684516,627.9193629580999,379.38311478428204,176.14398709521822,4338.624534977284,1792.3743566168619,4549.824169533449,1455.6614699296463,1082.218843247482,3475.87582313566,556.9921936472181,4665.577598358432,915.4470815273331
14,2542.1863928230805,1371.0186036749578,1138.0783109628096,4829.795684674455,513.6361393191463,4160.507280459928,495.1424526839774,4326.839174725605,661.837714506015,424.5868426538617,210.76635590693604,4762.992505819157,1942.3170485996839,4942.56406599728,1624.5454837659793,1180.0077096876976,3797.2250459610873,623.3545599092993,4989.391433366638,974.3910524231069
15,2699.9933609256896,1506.6149098915937,1203.2862780043956,5241.784209974222,580.5108365838162,4561.8389000755615,555.6410994912874,4591.655199356413,695.1668019359173,471.49888296023875,244.87056662840564,5199.799050895371,2089.0100579516534,5345.5188596991975,1800.2199672970605,1280.9349527218076,4128.493375150215,688.8884469968023,5322.6729767966,1034.6904471457954
16,2861.541711906756,1647.1989970344603,1269.745238462007,5665.074164887218,650.928499991293,4975.617285589957,614.5998555938927,4862.162223243575,727.9389592259057,520.063410057491,278.49609682360904,5648.644646854034,2232.673774901293,5758.3954811857075,1982.507851256405,1384.9367985483862,4469.440650275283,753.6470471482833,5665.34607729225,1096.324497400594
17,3026.7865411670145,1792.6773051010557,1337.4348092849584,6099.38712438017,724.837784452032,0.0,672.1403837313233,5138.272730069375,760.1836223711069,570.2298625094452,311.67727995464963,6109.164411084797,2373.504383886048,6180.923693121474,2171.2470311343595,1491.9537920063888,4819.844425136933,817.6776581904817,6017.337838078358,1159.2734918659082
